,rcod_persona,rcod_hogar,rmujer,r6,lnr6,rmu,rneduca,r3,redad,redadsq,rDpto,rpareja,reduca,rpobre,rmiembro,rgasto
4599,0089540041101,00895400411,0,632.0833333333334,6.4490212419946324,0,secundaria,1,49,2401,Piura,1,8.0,0,6,411.15277777777777
4600,0089540851101,00895408511,0,205.16666666666666,5.3238226569563984,0,primaria,1,69,4761,Piura,1,2.0,0,2,378.2916666666667
4601,0089540861101,00895408611,0,368.6666666666667,5.90989289341417,0,primaria,1,62,3844,Piura,0,5.0,0,1,708.9166666666666
4602,0089540941101,00895409411,1,202.0,5.308267697401205,0,secundaria,1,58,3364,Piura,1,7.0,0,2,502.4166666666667
4603,0089550721101,00895507211,0,1593.4166666666667,7.373635836704959,0,primaria,1,28,784,Piura,1,0.0,0,5,608.65
4604,0089550731101,00895507311,0,788.5833333333334,6.670238086720232,0,primaria,1,65,4225,Piura,0,4.0,0,2,576.1666666666666
4605,0089550741101,00895507411,0,611.4166666666666,6.415778668925994,0,primaria,1,55,3025,Piura,1,4.0,0,2,733.875
4606,0089550751101,00895507511,0,1607.3333333333333,7.382331770073007,0,primaria,1,36,1296,Piura,1,0.0,1,5,193.45000000000002
4607,0089551801101,00895518011,1,0.0,0.0,0,primaria,1,60,3600,Piura,1,5.0,0,2,998.1666666666666
4608,0089551811101,00895518111,1,777.5833333333334,6.656190819446022,0,primaria,1,57,3249,Piura,1,2.0,0,5,465.6666666666667
4609,0089551831101,00895518311,0,1216.75,7.103938648713564,0,primaria,1,45,2025,Piura,1,0.0,0,9,313.7962962962963
4610,0089560181101,00895601811,0,1030.1666666666667,6.937475880431219,0,primaria,1,39,1521,Piura,1,0.0,1,6,236.25
4611,0089560191101,00895601911,0,449.1666666666667,6.107394014115043,0,secundaria,1,26,676,Piura,0,11.0,1,1,224.75
4612,0089560201101,00895602011,0,1246.25,7.127894321276048,0,primaria,1,60,3600,Piura,1,2.0,0,3,505.27777777777777
4613,0089560211101,00895602111,1,564.9166666666666,6.336678227642965,0,primaria,1,33,1089,Piura,0,0.0,1,3,193.86111111111111
4614,0089561501101,00895615011,0,415.8333333333333,6.030284538957564,0,secundaria,1,68,4624,Piura,1,11.0,0,2,336.9166666666667
4615,0089561511101,00895615111,0,316.5833333333333,5.757586503399625,0,secundaria,1,59,3481,Piura,1,11.0,0,2,541.0
4616,0089561551101,00895615511,0,348.8333333333333,5.854594253217945,0,primaria,1,41,1681,Piura,1,0.0,1,5,253.96666666666667
4619,0089590101101,00895901011,0,2738.1666666666665,7.915043875678282,0,secundaria,1,32,1024,Piura,1,11.0,0,4,333.2708333333333
4621,0089590121101,00895901211,0,4585.75,8.43070894819446,0,primaria,1,54,2916,Piura,1,0.0,0,5,395.2166666666667
4622,0089590531101,00895905311,1,828.5,6.719616836866618,0,secundaria,1,36,1296,Piura,0,7.0,0,4,462.0
4623,0089590541101,00895905411,0,2210.5833333333335,7.701011711417208,0,secundaria,1,40,1600,Piura,1,11.0,0,6,446.75
4624,0089590551101,00895905511,0,10468.75,9.256149908007476,0,secundaria,1,35,1225,Piura,1,8.0,0,5,452.6666666666667
4625,0089590561101,00895905611,0,1168.8333333333333,7.063761379308855,0,primaria,1,64,4096,Piura,1,5.0,0,3,349.1111111111111
4626,0089620641101,00896206411,0,369.6666666666667,5.912601698682257,0,Univ.,1,32,1024,Puno,0,15.0,0,1,1357.0833333333333
4627,0089620891101,00896208911,0,1365.5833333333333,7.219336966758224,0,secundaria,1,31,961,Puno,1,11.0,0,4,466.25
4628,0089621251101,00896212511,0,5508.083333333333,8.613971989242689,0,Univ.,1,46,2116,Puno,1,17.0,0,5,778.6999999999999
4629,0089660691101,00896606911,1,201.75,5.307029307150058,0,secundaria,1,68,4624,Puno,0,11.0,0,1,668.0
4630,0089690721101,00896907211,1,1599.5,7.377446359389572,0,Univ.,1,63,3969,Puno,0,16.0,0,3,513.5277777777777
4634,0089730351101,00897303511,0,2098.5833333333335,7.649017792889803,0,secundaria,1,69,4761,Puno,1,11.0,0,3,768.0277777777778
4635,0089730561101,00897305611,0,1634.5833333333333,7.399143208855652,0,secundaria,1,43,1849,Puno,1,11.0,1,4,302.6458333333333
4636,0089770041101,00897700411,0,620.5833333333334,6.430659895922645,0,secundaria,1,45,2025,Puno,1,7.0,1,4,197.52083333333334
4637,0089770161101,00897701611,1,53.166666666666664,3.9734316335567894,0,primaria,1,68,4624,Puno,0,1.0,0,1,473.5
4638,0089770761101,00897707611,1,477.5833333333333,6.168738664763737,0,primaria,1,66,4356,Puno,0,2.0,0,1,522.4166666666666
4639,0089770881101,00897708811,0,506.0,6.226536669287466,0,tecnica,1,30,900,Puno,0,13.0,0,1,1159.5833333333333
4640,0089780301101,00897803011,0,517.1666666666666,6.248365195220325,0,secundaria,1,44,1936,Puno,1,9.0,0,5,704.8666666666667
4641,0089780701101,00897807011,0,4586.916666666667,8.43096332714779,0,Univ.,1,53,2809,Puno,1,18.0,0,6,860.2083333333334
4642,0089781071101,00897810711,0,2591.3333333333335,7.8599278227440585,0,Univ.,1,56,3136,Puno,1,16.0,0,4,895.9791666666666
4643,0089840031101,00898400311,0,893.25,6.794866496903519,0,primaria,1,53,2809,Puno,1,0.0,1,5,180.15
4644,0089840101101,00898401011,0,994.5,6.902240098294027,0,tecnica,1,34,1156,Puno,1,14.0,1,5,141.78333333333333
4645,0089840251101,00898402511,1,645.0833333333334,6.469379507416713,0,secundaria,1,40,1600,Puno,0,11.0,0,4,350.6041666666667
4646,0089840401101,00898404011,0,880.9166666666666,6.780963031980662,0,primaria,1,66,4356,Puno,1,2.0,1,2,291.0833333333333
4647,0089840481101,00898404811,1,79.5,4.375757021660286,0,secundaria,1,33,1089,Puno,0,10.0,1,2,266.7083333333333
4648,0089920011101,00899200111,0,488.0,6.1903154058531475,0,secundaria,1,20,400,Puno,0,11.0,0,1,1223.8333333333333
4649,0089920321101,00899203211,1,554.3333333333334,6.317766190524818,0,primaria,1,34,1156,Puno,1,0.0,0,4,563.4375
4650,0089940631101,00899406311,0,2042.4166666666667,7.621889026228226,0,secundaria,1,49,2401,Puno,1,11.0,0,5,750.4499999999999
4651,0089940961101,00899409611,1,1520.6666666666667,7.326904114176224,0,secundaria,1,28,784,Puno,1,11.0,0,3,995.9722222222222
4652,0089950281101,00899502811,0,1268.5,7.145590379039336,0,tecnica,1,44,1936,Puno,1,14.0,0,2,797.625
4653,0089950711101,00899507111,0,2013.9166666666667,7.6078366953949805,0,secundaria,1,38,1444,Puno,1,11.0,1,4,329.125
4655,0089960021101,00899600211,0,1547.5,7.344396004558751,0,secundaria,1,54,2916,Puno,1,8.0,0,4,507.4791666666667
4656,0089960261101,00899602611,1,2759.6666666666665,7.922865178470696,0,Univ.,1,52,2704,Puno,0,18.0,0,5,647.6999999999999
4657,0089960731101,00899607311,1,20.583333333333332,3.0244816868399766,0,primaria,1,58,3364,Puno,0,1.0,0,1,409.4166666666667
4660,0089970231101,00899702311,0,686.4166666666666,6.531484829153248,0,Univ.,1,35,1225,Puno,1,16.0,1,4,277.9583333333333
